season_end_year,team_abbreviation,player_name,number
2022,MIL,Giannis Antetokounmpo,34
2022,MIL,Thanasis Antetokounmpo,43
2022,MIL,DeAndre' Bembry,95
2022,MIL,Jevon Carter,5
2022,MIL,Pat Connaughton,24
2022,MIL,DeMarcus Cousins,15
2022,MIL,Javin DeLaurier,12
2022,MIL,Donte DiVincenzo,0
2022,MIL,Jeff Dowtin Jr.,15
2022,MIL,Langston Galloway,12
2022,MIL,George Hill,3
2022,MIL,Jrue Holiday,21
2022,MIL,Rodney Hood,5
2022,MIL,Serge Ibaka,25
2022,MIL,Georgios Kalaitzakis,18
2022,MIL,Luke Kornet,35
2022,MIL,Brook Lopez,11
2022,MIL,Sandro Mamukelashvili,54
2022,MIL,Wesley Matthews,23
2022,MIL,Khris Middleton,22
2022,MIL,Greg Monroe,15
2022,MIL,Jordan Nwora,13
2022,MIL,Semi Ojeleye,37
2022,MIL,Bobby Portis,9
2022,MIL,Justin Robinson,55
2022,MIL,Javonte Smart,6
2022,MIL,Rayjon Tucker,59
2022,MIL,Luca Vildoza,6
2022,MIL,Lindell Wigginton,28
2022,MIN,Malik Beasley,5
2022,MIN,Patrick Beverley,22
2022,MIN,Leandro Bolmaro,9
2022,MIN,Anthony Edwards,1
2022,MIN,Nathan Knight,13
2022,MIN,Jake Layman,10
2022,MIN,Jaden McDaniels,3
2022,MIN,Jordan McLaughlin,6
2022,MIN,Greg Monroe,55
2022,MIN,Jaylen Nowell,4
2022,MIN,Josh Okogie,20
2022,MIN,Taurean Prince,12
2022,MIN,Naz Reid,11
2022,MIN,D'Angelo Russell,0
2022,MIN,Chris Silva,30
2022,MIN,Karl-Anthony Towns,32
2022,MIN,Jarred Vanderbilt,8
2022,MIN,McKinley Wright IV,25
2022,NOP,Nickeil Alexander-Walker,6
2022,NOP,Jose Alvarado,15
2022,NOP,Gary Clark,12
2022,NOP,Devonte' Graham,4
2022,NOP,Jared Harper,2
2022,NOP,Josh Hart,3
2022,NOP,Jaxson Hayes,10
2022,NOP,Willy Hernangómez,9
2022,NOP,Brandon Ingram,14
2022,NOP,Alize Johnson,24
2022,NOP,Herbert Jones,5
2022,NOP,Kira Lewis Jr.,13
2022,NOP,Didi Louzada,0
2022,NOP,Naji Marshall,8
2022,NOP,CJ McCollum,3
2022,NOP,Trey Murphy III,25
2022,NOP,Larry Nance Jr.,22
2022,NOP,Tomáš Satoranský,31
2022,NOP,Tony Snell,21
2022,NOP,Garrett Temple,41
2022,NOP,Jonas Valančiūnas,17
2022,NOP,Tyrone Wallace,6
2022,NYK,Ryan Arcidiacono,51
2022,NYK,RJ Barrett,9
2022,NYK,Alec Burks,18
2022,NYK,Damyean Dotson,21
2022,NYK,Evan Fournier,13
2022,NYK,Taj Gibson,67
2022,NYK,Quentin Grimes,6
2022,NYK,Tyler Hall,16
2022,NYK,Danuel House Jr.,44
2022,NYK,Feron Hunt,16
2022,NYK,Kevin Knox,20
2022,NYK,Miles McBride,2
2022,NYK,Matt Mooney,31
2022,NYK,Nerlens Noel,3
2022,NYK,Immanuel Quickley,5
2022,NYK,Julius Randle,30
2022,NYK,Cam Reddish,21
2022,NYK,Mitchell Robinson,23
2022,NYK,Derrick Rose,4
2022,NYK,Wayne Selden,11
2022,NYK,Jericho Sims,45
2022,NYK,Obi Toppin,1
2022,NYK,Kemba Walker,8
2022,OKC,Darius Bazley,7
2022,OKC,Gabriel Deck,6
2022,OKC,Mamadi Diakite,12
2022,OKC,Luguentz Dort,5
2022,OKC,Rob Edwards,25
2022,OKC,Derrick Favors,15
2022,OKC,Melvin Frazier,6
2022,OKC,Josh Giddey,3
2022,OKC,Shai Gilgeous-Alexander,2
2022,OKC,Jaylen Hoard,14
2022,OKC,Scotty Hopson,55
2022,OKC,Ty Jerome,16
2022,OKC,Georgios Kalaitzakis,18
2022,OKC,Vít Krejčí,27
2022,OKC,Théo Maledon,11
2022,OKC,Tre Mann,23
2022,OKC,Mike Muscala,33
2022,OKC,Aleksej Pokusevski,17
2022,OKC,Jeremiah Robinson-Earl,50
2022,OKC,Isaiah Roby,22
2022,OKC,Olivier Sarr,30
2022,OKC,Zavier Simpson,9
2022,OKC,Lindy Waters III,12
2022,OKC,Paul Watson,8
2022,OKC,Aaron Wiggins,21
2022,OKC,Kenrich Williams,34
2022,ORL,Cole Anthony,50
2022,ORL,Mo Bamba,5
2022,ORL,Ignas Brazdeikis,17
2022,ORL,Devin Cannady,30
2022,ORL,Wendell Carter Jr.,34
2022,ORL,Jeff Dowtin Jr.,11
2022,ORL,Aleem Ford,11
2022,ORL,Tim Frazier,8
2022,ORL,Markelle Fultz,20
2022,ORL,Freddie Gillespie,44
2022,ORL,Hassani Gravett,12
2022,ORL,R.J. Hampton,13
2022,ORL,Gary Harris,14
2022,ORL,B.J. Johnson,24
2022,ORL,Robin Lopez,33
2022,ORL,Mychal Mulder,2
2022,ORL,Chuma Okeke,3
2022,ORL,Terrence Ross,31
2022,ORL,Admiral Schofield,25
2022,ORL,Jalen Suggs,4
2022,ORL,Franz Wagner,22
2022,ORL,Moritz Wagner,21
2022,PHI,Charles Bassey,23
2022,PHI,Charlie Brown Jr.,16
2022,PHI,Willie Cauley-Stein,0
2022,PHI,Seth Curry,31
2022,PHI,Andre Drummond,1
2022,PHI,Joel Embiid,21
2022,PHI,Danny Green,14
2022,PHI,James Harden,1
2022,PHI,Tobias Harris,12
2022,PHI,Aaron Henry,50
2022,PHI,Isaiah Joe,7
2022,PHI,Tyler Johnson,8
2022,PHI,DeAndre Jordan,9
2022,PHI,Braxton Key,17
2022,PHI,Furkan Korkmaz,30
2022,PHI,Tyrese Maxey,0
2022,PHI,Paul Millsap,8
2022,PHI,Shake Milton,18
2022,PHI,Georges Niang,20
2022,PHI,Myles Powell,5
2022,PHI,Paul Reed,44
2022,PHI,Jaden Springer,11
2022,PHI,Matisse Thybulle,22
2022,PHO,Deandre Ayton,22
2022,PHO,Paris Bass,30
2022,PHO,Bismack Biyombo,18
2022,PHO,Devin Booker,1
2022,PHO,Mikal Bridges,25
2022,PHO,Torrey Craig,0
2022,PHO,Jae Crowder,99
2022,PHO,Aaron Holiday,4
2022,PHO,Chandler Hutchison,35
2022,PHO,Justin Jackson,45
2022,PHO,Cameron Johnson,23
2022,PHO,Frank Kaminsky,8
2022,PHO,Gabriel Lundberg,19
2022,PHO,JaVale McGee,0
2022,PHO,Abdel Nader,11
2022,PHO,Chris Paul,3
2022,PHO,Cameron Payne,15
2022,PHO,Elfrid Payton,2
2022,PHO,Landry Shamet,14
2022,PHO,Jalen Smith,10
2022,PHO,Emanuel Terry,26
2022,PHO,Ish Wainright,12
2022,PHO,M.J. Walker,21
2022,POR,Keljin Blevins,21
2022,POR,Greg Brown III,4
2022,POR,Robert Covington,33
2022,POR,Jarron Cumberland,34
2022,POR,Kris Dunn,18
2022,POR,CJ Elleby,16
2022,POR,Drew Eubanks,24
2022,POR,Josh Hart,11
2022,POR,Elijah Hughes,19
2022,POR,Keon Johnson,6
2022,POR,Damian Lillard,0
2022,POR,Nassir Little,9
2022,POR,Didi Louzada,35
2022,POR,CJ McCollum,3
2022,POR,Cameron McGriff,8
2022,POR,Ben McLemore,23
2022,POR,Larry Nance Jr.,11
2022,POR,Jusuf Nurkić,27
2022,POR,Reggie Perry,"10, 18"
2022,POR,Norman Powell,24
2022,POR,Anfernee Simons,1
2022,POR,Dennis Smith Jr.,10
2022,POR,Tony Snell,17
2022,POR,Trendon Watford,2
2022,POR,Brandon Williams,"5, 8"
2022,POR,Justise Winslow,26
2022,POR,Cody Zeller,40
2022,SAC,Marvin Bagley III,35
2022,SAC,Harrison Barnes,40
2022,SAC,Terence Davis,3
2022,SAC,Donte DiVincenzo,0
2022,SAC,De'Aaron Fox,5
2022,SAC,Tyrese Haliburton,0
2022,SAC,Maurice Harkless,8
2022,SAC,Buddy Hield,24
2022,SAC,Justin Holiday,9
2022,SAC,Richaun Holmes,22
2022,SAC,Josh Jackson,55
2022,SAC,Damian Jones,30
2022,SAC,Louis King,23
2022,SAC,Jeremy Lamb,26
2022,SAC,Alex Len,25
2022,SAC,Trey Lyles,41
2022,SAC,Chimezie Metu,7
2022,SAC,Davion Mitchell,15
2022,SAC,Emmanuel Mudiay,10
2022,SAC,Ade Murkey,31
2022,SAC,Neemias Queta,88
2022,SAC,Jahmi'us Ramsey,20
2022,SAC,Justin Robinson,9
2022,SAC,Domantas Sabonis,10
2022,SAC,Tristan Thompson,13
2022,SAC,Robert Woodard II,17
2022,SAS,Keita Bates-Diop,31
2022,SAS,Devontae Cacok,18
2022,SAS,Zach Collins,23
2022,SAS,Drew Eubanks,14
2022,SAS,Bryn Forbes,7
2022,SAS,Juancho Hernangómez,41
2022,SAS,Keldon Johnson,3
2022,SAS,Tyler Johnson,28
2022,SAS,Tre Jones,33
2022,SAS,Anthony Lamb,35
2022,SAS,Jock Landale,34
2022,SAS,Romeo Langford,35
2022,SAS,Doug McDermott,17
2022,SAS,Jaylen Morris,16
2022,SAS,Dejounte Murray,5
2022,SAS,Jakob Poeltl,25
2022,SAS,Joshua Primo,11
2022,SAS,Josh Richardson,7
2022,SAS,Tomáš Satoranský,45
2022,SAS,Devin Vassell,24
2022,SAS,Lonnie Walker IV,1
2022,SAS,Derrick White,4
2022,SAS,Joe Wieskamp,15
2022,SAS,Thaddeus Young,30
2022,TOR,Precious Achiuwa,5
2022,TOR,OG Anunoby,3
2022,TOR,Dalano Banton,45
2022,TOR,Scottie Barnes,4
2022,TOR,Khem Birch,24
2022,TOR,Isaac Bonga,17
2022,TOR,Chris Boucher,25
2022,TOR,Armoni Brooks,1
2022,TOR,Justin Champagnie,11
2022,TOR,Sam Dekker,8
2022,TOR,Goran Dragić,1
2022,TOR,Malachi Flynn,22
2022,TOR,David Johnson,13
2022,TOR,Juwan Morgan,16
2022,TOR,Svi Mykhailiuk,14
2022,TOR,Daniel Oturu,20
2022,TOR,Pascal Siakam,43
2022,TOR,Gary Trent Jr.,33
2022,TOR,Fred VanVleet,23
2022,TOR,Yuta Watanabe,18
2022,TOR,Tremont Waters,51
2022,TOR,D.J. Wilson,9
2022,TOR,Thaddeus Young,21
2022,UTA,Nickeil Alexander-Walker,6
2022,UTA,Udoka Azubuike,20
2022,UTA,Bojan Bogdanović,44
2022,UTA,Jared Butler,13
2022,UTA,Zylan Cheatham,6
2022,UTA,Jordan Clarkson,0
2022,UTA,Mike Conley,11
2022,UTA,Malik Fitts,24
2022,UTA,Trent Forrest,3
2022,UTA,Rudy Gay,8
2022,UTA,Rudy Gobert,27
2022,UTA,Juancho Hernangómez,41
2022,UTA,Danuel House Jr.,25
2022,UTA,Elijah Hughes,33
2022,UTA,Joe Ingles,2
2022,UTA,Donovan Mitchell,45
2022,UTA,Greg Monroe,10
2022,UTA,Royce O'Neale,23
2022,UTA,Miye Oni,81
2022,UTA,Eric Paschall,0
2022,UTA,Norvel Pelle,5
2022,UTA,Xavier Sneed,19
2022,UTA,Denzel Valentine,15
2022,UTA,Hassan Whiteside,21
2022,WAS,Deni Avdija,9
2022,WAS,Joel Ayayi,17
2022,WAS,Bradley Beal,3
2022,WAS,Dāvis Bertāns,42
2022,WAS,Thomas Bryant,13
2022,WAS,Kentavious Caldwell-Pope,1
2022,WAS,Vernon Carey Jr.,22
2022,WAS,Spencer Dinwiddie,26
2022,WAS,Jaime Echenique,12
2022,WAS,Daniel Gafford,21
2022,WAS,Anthony Gill,16
2022,WAS,Jordan Goodwin,7
2022,WAS,Rui Hachimura,8
2022,WAS,Montrezl Harrell,6
2022,WAS,Aaron Holiday,4
2022,WAS,Alize Johnson,27
2022,WAS,Corey Kispert,24
2022,WAS,Kyle Kuzma,33
2022,WAS,Greg Monroe,55
2022,WAS,Raul Neto,19
2022,WAS,Kristaps Porziņģis,6
2022,WAS,Tomáš Satoranský,31
2022,WAS,Jordan Schakel,20
2022,WAS,Ish Smith,4
2022,WAS,Craig Sword,32
2022,WAS,Isaiah Todd,14
2022,WAS,Brad Wanamaker,22
2022,WAS,Tremont Waters,51
2022,WAS,Cassius Winston,5
